,City,Pro,Expert,Expert+,Creator Count,location,coordinates,state,country,OSM_Search_Query
205,"Jacksonville, FL",349,26,2,377,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.655651, 0.0)",Jacksonville, United States,"Jacksonville,  United States"
206,Milano,307,58,12,377,"Milan, Lombardy, Italy","(45.4641943, 9.1896346, 0.0)",Milan, Italy,"Milan,  Italy"
207,"Alexandria, VA",337,32,2,371,"Alexandria, Virginia, United States","(38.8051095, -77.0470229, 0.0)",Alexandria, United States,"Alexandria,  United States"
208,"Fort Worth, TX",344,25,0,369,"Fort Worth, Tarrant County, Texas, United States","(32.753177, -97.3327459, 0.0)",Fort Worth, United States,"Fort Worth,  United States"
210,Kuala Lumpur,275,82,10,367,"Kuala Lumpur, Malaysia","(3.1516964, 101.6942371, 0.0)",Kuala Lumpur, Malaysia,"Kuala Lumpur,  Malaysia"
211,"Louisville, KY",343,20,3,366,"Louisville, Jefferson County, Kentucky, United States","(38.2542376, -85.759407, 0.0)",Louisville, United States,"Louisville,  United States"
213,"Nottingham, England",334,24,3,361,"Nottingham, Nottinghamshire, England, United Kingdom","(52.9534193, -1.1496461, 0.0)",Nottingham, United Kingdom,"Nottingham,  United Kingdom"
218,"Raleigh, NC",327,26,0,353,"Raleigh, Wake County, North Carolina, United States","(35.7803977, -78.6390989, 0.0)",Raleigh, United States,"Raleigh,  United States"
219,"Izmir, Turkiye",311,39,2,352,"Izmir, Konak, Izmir, Aegean Region, 00000, Türkiye","(38.4224548, 27.1310699, 0.0)",Izmir, Türkiye,"Izmir,  Türkiye"
220,"Boulder, CO",317,32,2,351,"Boulder, Boulder County, Colorado, United States","(40.0149856, -105.270545, 0.0)",Boulder, United States,"Boulder,  United States"
222,"Belfast, Northern Ireland",327,22,0,349,"Belfast, County Antrim, Ulster, Northern Ireland, BT1 5GS, United Kingdom","(54.596391, -5.9301829, 0.0)",Belfast, United Kingdom,"Belfast,  United Kingdom"
223,"Ohio, USA",327,21,0,348,"Ohio, United States","(40.2253569, -82.6881395, 0.0)",Ohio, United States,"Ohio,  United States"
224,"Karachi, Pakistan",294,47,7,348,"Karachi, Sindh, Pakistan","(24.8546842, 67.0207055, 0.0)",Karachi, Pakistan,"Karachi,  Pakistan"
